Account Statement for DEMO-0001 (Day Trade) since 8/24/26 through 8/24/26

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/24/26,09:33:05,TRD,="3001",BOT +200 NVDA @176.40,,-0.70,-35280.00,64719.3
8/24/26,09:36:41,TRD,="3002",BOT +100 NVDA @176.15,,-0.35,-17615.00,47103.95
8/24/26,10:02:19,TRD,="3003",SOLD -300 NVDA @177.35,,-1.05,53205.00,100307.9
8/24/26,09:47:52,TRD,="3004",BOT +150 TSLA @334.20,,-0.55,-50130.00,50177.35
8/24/26,10:15:08,TRD,="3005",SOLD -75 TSLA @336.10,,-0.30,25207.50,75384.55
8/24/26,10:31:44,TRD,="3006",SOLD -75 TSLA @335.40,,-0.30,25155.00,100539.25
8/24/26,10:58:33,TRD,="3007",SOLD -400 AMD @167.80,,-1.40,67120.00,167657.85
8/24/26,11:20:10,TRD,="3008",BOT +400 AMD @167.15,,-1.40,-66860.00,100796.45
8/24/26,13:05:27,TRD,="3009",BOT +100 SPY @644.90,,-0.35,-64490.00,36306.1
8/24/26,13:42:56,TRD,="3010",SOLD -100 SPY @644.15,,-0.35,64415.00,100720.75
